"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 21, 2021","56.60","58.00","58.00","56.50","592.29K","-1.74%"
"Sep 17, 2021","57.60","58.00","58.80","56.60","618.07K","0.17%"
"Sep 16, 2021","57.50","60.00","60.00","57.50","816.54K","-3.04%"
"Sep 15, 2021","59.30","57.40","60.80","56.60","1.77M","4.59%"
"Sep 14, 2021","56.70","56.00","57.80","55.50","968.73K","1.25%"
"Sep 13, 2021","56.00","58.20","58.20","54.90","2.09M","-4.76%"
"Sep 10, 2021","58.80","61.60","61.60","57.50","1.98M","-3.61%"
"Sep 09, 2021","61.00","59.90","61.50","57.50","2.24M","2.01%"
"Sep 08, 2021","59.80","60.20","63.00","56.50","5.79M","-3.55%"
"Sep 07, 2021","62.00","64.40","64.90","60.00","3.73M","-3.58%"
"Sep 06, 2021","64.30","66.50","67.00","63.00","2.61M","-3.60%"
"Sep 03, 2021","66.70","68.40","68.40","66.00","2.22M","-1.91%"
"Sep 02, 2021","68.00","69.10","69.90","67.80","4.99M","-0.44%"
"Sep 01, 2021","68.30","66.80","70.20","66.10","7.04M","3.02%"
"Aug 31, 2021","66.30","67.00","68.90","64.00","7.51M","-0.45%"
"Aug 30, 2021","66.60","70.10","72.00","66.10","18.48M","-0.60%"
"Aug 27, 2021","67.00","60.00","67.50","60.00","22.83M","13.75%"
"Aug 26, 2021","58.90","58.50","60.20","58.20","5.18M","1.55%"
"Aug 25, 2021","58.00","59.50","60.50","57.40","5.16M","-1.86%"
"Aug 24, 2021","59.10","58.10","62.00","57.60","10.13M","4.05%"
"Aug 23, 2021","56.80","55.00","58.00","54.90","5.99M","3.65%"
"Aug 20, 2021","54.80","55.60","56.60","54.50","1.92M","-2.14%"
"Aug 19, 2021","56.00","58.00","58.20","55.50","2.08M","-2.95%"
"Aug 18, 2021","57.70","55.00","57.70","55.00","4.22M","6.07%"
"Aug 17, 2021","54.40","53.40","54.80","53.40","859.43K","1.68%"
"Aug 16, 2021","53.50","53.60","53.70","53.00","157.40K","-0.74%"
"Aug 13, 2021","53.90","53.80","55.00","53.20","2.35M","1.70%"
"Aug 12, 2021","53.00","54.10","54.20","52.20","2.22M","-2.57%"
"Aug 11, 2021","54.40","54.80","54.90","53.90","1.43M","-0.18%"
"Aug 10, 2021","54.50","55.00","55.70","54.00","1.88M","-0.55%"
"Aug 09, 2021","54.80","55.50","56.00","54.00","2.02M","-0.72%"
"Aug 06, 2021","55.20","53.50","56.90","53.30","4.25M","2.03%"
"Aug 05, 2021","54.10","56.50","57.30","54.00","6.79M","-5.09%"
"Aug 04, 2021","57.00","59.10","59.50","56.90","3.71M","-3.55%"
"Aug 03, 2021","59.10","58.30","59.20","58.30","4.48M","1.37%"
"Aug 02, 2021","58.30","57.30","58.40","56.90","1.68M","2.28%"
"Jul 30, 2021","57.00","58.00","58.40","56.60","1.08M","-1.72%"
"Jul 29, 2021","58.00","57.50","58.50","57.50","348.51K","-0.17%"
"Jul 28, 2021","58.10","57.40","58.20","57.00","940.33K","0.87%"
"Jul 27, 2021","57.60","58.10","58.30","56.90","2.81M","-0.86%"
"Jul 26, 2021","58.10","60.00","60.10","57.90","3.72M","-1.86%"
"Jul 22, 2021","59.20","59.50","60.60","58.90","8.56M","1.89%"
"Jul 20, 2021","58.10","56.40","59.00","56.30","6.21M","3.75%"
"Jul 19, 2021","56.00","54.50","57.00","54.00","5.35M","2.56%"
"Jul 16, 2021","54.60","55.00","55.00","54.20","1.31M","0.00%"
"Jul 15, 2021","54.60","54.20","55.10","54.00","1.96M","0.74%"
"Jul 14, 2021","54.20","54.10","54.40","53.80","1.82M","0.18%"
"Jul 13, 2021","54.10","53.50","54.20","53.40","1.81M","1.31%"
"Jul 12, 2021","53.40","52.70","53.50","52.60","976.21K","1.33%"
"Jul 09, 2021","52.70","52.50","52.90","52.40","1.28M","0.57%"
"Jul 08, 2021","52.40","52.30","52.80","52.20","222.97K","0.19%"
"Jul 07, 2021","52.30","52.00","52.90","51.90","372.67K","0.77%"
"Jul 06, 2021","51.90","53.00","53.00","51.90","1.11M","-1.70%"
"Jul 05, 2021","52.80","52.00","53.70","52.00","1.20M","2.33%"
"Jul 02, 2021","51.60","51.50","51.90","50.40","605.39K","0.78%"
"Jul 01, 2021","51.20","51.10","51.50","50.90","353.11K","0.00%"
"Jun 30, 2021","51.20","51.00","51.40","50.10","1.41M","-1.16%"
"Jun 29, 2021","51.80","51.60","52.30","51.40","698.46K","-1.15%"
"Jun 28, 2021","52.40","52.50","52.70","52.00","359.25K","0.00%"
"Jun 25, 2021","52.40","52.50","52.70","51.90","675.53K","0.19%"
"Jun 23, 2021","52.30","51.90","52.80","50.90","1.55M","1.55%"
"Jun 22, 2021","51.50","52.80","53.40","51.20","1.52M","-2.28%"
"Jun 21, 2021","52.70","54.60","54.60","52.60","1.48M","-3.48%"
"Jun 18, 2021","54.60","54.20","55.40","54.20","3.48M","0.92%"
"Jun 17, 2021","54.10","54.00","54.50","53.50","1.96M","1.12%"
"Jun 16, 2021","53.50","52.70","53.90","52.30","1.96M","2.29%"
"Jun 15, 2021","52.30","51.60","52.80","51.60","742.89K","0.77%"
"Jun 14, 2021","51.90","51.80","52.00","50.90","823.60K","1.37%"
"Jun 11, 2021","51.20","52.00","52.00","50.90","3.69M","-1.54%"
"Jun 10, 2021","52.00","53.00","53.00","51.90","1.62M","-0.95%"
"Jun 09, 2021","52.50","52.50","53.00","52.00","1.31M","-0.38%"
"Jun 08, 2021","52.70","53.00","53.00","52.00","383.55K","-0.19%"
"Jun 07, 2021","52.80","53.50","53.50","52.60","1.10M","-0.94%"
"Jun 04, 2021","53.30","54.00","54.00","52.90","1.03M","-0.56%"
"Jun 03, 2021","53.60","53.20","54.10","52.80","1.34M","0.56%"
"Jun 02, 2021","53.30","52.40","53.40","52.00","1.46M","1.91%"
"Jun 01, 2021","52.30","51.50","52.40","50.70","4.24M","0.97%"
"May 31, 2021","51.80","53.20","53.30","51.40","4.31M","-1.89%"
"May 28, 2021","52.80","53.30","53.70","52.70","1.03M","-0.38%"
"May 25, 2021","53.00","53.00","54.00","52.90","398.21K","0.95%"
"May 24, 2021","52.50","52.90","53.50","51.60","1.32M","-0.57%"
"May 21, 2021","52.80","55.00","55.00","52.00","3.28M","-2.58%"
"May 20, 2021","54.20","56.10","56.10","54.00","1.45M","-3.39%"
"May 19, 2021","56.10","57.90","58.50","55.50","3.68M","-0.71%"
"May 18, 2021","56.50","57.00","57.20","55.90","2.29M","-0.88%"
"May 17, 2021","57.00","56.00","57.50","56.00","2.93M","2.52%"
"May 13, 2021","55.60","54.20","55.80","54.10","1.18M","2.21%"
"May 12, 2021","54.40","55.30","55.40","54.30","585.80K","-0.55%"
"May 11, 2021","54.70","55.00","55.50","54.40","437.22K","0.00%"
"May 10, 2021","54.70","56.70","56.70","54.30","1.23M","-3.53%"
"May 07, 2021","56.70","55.00","57.00","55.00","1.72M","3.09%"
"May 06, 2021","55.00","55.00","55.70","54.60","846.87K","1.85%"
"May 05, 2021","54.00","53.20","54.70","53.20","567.68K","1.69%"
"May 04, 2021","53.10","57.30","57.30","52.90","1.48M","-1.67%"
"May 03, 2021","54.00","55.60","55.90","53.90","1.22M","-2.88%"
"Apr 30, 2021","55.60","54.50","56.00","54.50","445.82K","0.72%"
"Apr 29, 2021","55.20","56.90","57.20","54.10","1.89M","-1.43%"
"Apr 28, 2021","56.00","52.40","56.70","52.40","3.12M","6.67%"
"Apr 27, 2021","52.50","53.50","54.90","52.20","2.96M","-3.49%"
"Apr 23, 2021","54.40","55.00","56.20","53.30","3.12M","-2.86%"
"Apr 22, 2021","56.00","57.80","58.10","55.10","3.45M","-3.61%"
"Apr 21, 2021","58.10","55.00","58.30","54.10","3.97M","5.64%"
"Apr 20, 2021","55.00","59.90","59.90","54.70","6.87M","-7.56%"
"Apr 19, 2021","59.50","61.00","61.00","58.90","3.13M","-1.33%"
"Apr 16, 2021","60.30","61.00","61.00","57.10","4.49M","-0.50%"
"Apr 15, 2021","60.60","59.50","61.90","59.50","6.18M","3.06%"
"Apr 12, 2021","58.80","56.30","59.10","56.30","5.52M","4.81%"
"Apr 09, 2021","56.10","57.20","58.50","55.90","4.31M","-0.53%"
"Apr 08, 2021","56.40","55.50","57.30","54.40","5.09M","2.92%"
"Apr 07, 2021","54.80","55.00","58.60","53.80","9.40M","0.92%"
"Apr 06, 2021","54.30","50.00","54.40","49.50","5.03M","9.48%"
"Apr 05, 2021","49.60","47.50","50.50","47.50","4.04M","4.64%"
"Apr 01, 2021","47.40","46.60","48.10","46.00","1.85M","2.38%"
"Mar 31, 2021","46.30","46.80","46.80","46.00","916.09K","-0.43%"
"Mar 30, 2021","46.50","47.00","47.20","46.00","566.97K","-0.64%"
"Mar 29, 2021","46.80","46.50","47.40","45.70","2.27M","1.52%"
"Mar 26, 2021","46.10","45.40","46.30","44.60","591.34K","3.36%"
"Mar 25, 2021","44.60","47.00","48.20","44.60","2.02M","-4.50%"
"Mar 24, 2021","46.70","44.40","47.00","43.90","2.93M","4.24%"
"Mar 23, 2021","44.80","44.90","45.80","43.40","934.59K","1.36%"
"Mar 22, 2021","44.20","42.50","44.80","42.50","1.48M","4.00%"
"Mar 19, 2021","42.50","43.20","44.30","41.00","2.63M","-2.75%"
"Mar 18, 2021","43.70","46.00","46.00","43.60","1.71M","-5.82%"
"Mar 17, 2021","46.40","47.80","48.00","45.90","991.99K","-4.13%"
"Mar 16, 2021","48.40","49.00","49.80","45.60","1.76M","-0.82%"
"Mar 15, 2021","48.80","52.00","52.70","48.40","1.92M","-4.87%"
"Mar 12, 2021","51.30","50.00","52.00","50.00","2.85M","3.64%"
"Mar 10, 2021","49.50","50.00","51.60","48.00","1.33M","-1.00%"
"Mar 09, 2021","50.00","52.00","55.50","49.00","8.31M","-2.72%"
"Mar 08, 2021","51.40","45.00","51.40","44.00","6.62M","16.82%"
"Mar 05, 2021","44.00","41.50","44.50","39.00","2.85M","8.11%"
"Mar 04, 2021","40.70","44.00","46.00","39.50","3.06M","-7.08%"
"Mar 03, 2021","43.80","46.50","46.50","40.50","2.93M","-5.81%"
"Mar 02, 2021","46.50","49.90","49.90","45.90","2.12M","-5.68%"
"Mar 01, 2021","49.30","50.30","51.90","48.70","1.75M","-2.38%"
"Feb 25, 2021","50.50","50.00","51.80","47.90","2.77M","1.20%"
"Feb 24, 2021","49.90","49.20","51.80","48.60","3.63M","0.81%"
"Feb 23, 2021","49.50","55.20","55.20","47.40","5.31M","-11.45%"
"Feb 22, 2021","55.90","58.00","59.50","55.10","2.73M","-6.99%"
"Feb 19, 2021","60.10","63.20","63.40","59.00","2.01M","-3.84%"
"Feb 18, 2021","62.50","63.00","64.00","61.30","2.45M","-0.48%"
"Feb 17, 2021","62.80","60.60","62.90","55.70","3.54M","4.67%"
"Feb 16, 2021","60.00","67.50","69.10","55.70","6.08M","-9.09%"
"Feb 10, 2021","66.00","70.00","71.00","64.50","8.40M","-8.71%"
"Feb 09, 2021","72.30","74.90","74.97","69.00","4.91M","-2.23%"
"Feb 08, 2021","73.95","72.00","76.00","72.00","5.67M","4.71%"
"Feb 05, 2021","70.63","69.00","70.90","66.50","4.82M","7.01%"
"Feb 03, 2021","66.00","62.50","70.00","61.33","5.53M","-2.91%"
"Feb 02, 2021","67.97","72.00","73.82","55.00","6.17M","-1.06%"
"Feb 01, 2021","68.70","71.50","72.00","68.50","3.92M","-4.95%"
"Jan 29, 2021","72.28","76.00","76.00","68.00","5.05M","-3.67%"
"Jan 27, 2021","75.03","73.50","76.50","71.50","5.98M","2.77%"
"Jan 26, 2021","73.00","70.00","75.00","70.00","11.01M","5.19%"
"Jan 25, 2021","69.40","57.00","69.97","56.53","14.06M","23.93%"
"Jan 22, 2021","56.00","58.90","60.50","55.10","10.24M","-3.28%"
"Jan 21, 2021","57.90","47.50","62.50","47.50","32.41M","30.19%"
