"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 09, 2020","3.46","3.46","3.46","3.46","8.77K","0.00%"
"Jun 08, 2020","3.46","3.29","3.46","3.29","2.66K","1.72%"
"Jun 04, 2020","3.40","3.40","3.40","3.40","5.11K","0.00%"
"Jun 03, 2020","3.40","3.23","3.40","3.23","0.76K","3.57%"
"Jun 02, 2020","3.29","3.29","3.29","3.29","2.52K","0.00%"
"Jun 01, 2020","3.29","3.40","3.46","3.29","0.91K","-5.08%"
"May 29, 2020","3.46","3.46","3.46","3.46","1.72K","0.00%"
"May 28, 2020","3.46","3.52","3.52","3.23","139.16K","-1.67%"
"May 27, 2020","3.52","3.64","3.64","3.52","7.75K","-4.76%"
"May 21, 2020","3.70","3.81","3.81","3.70","10.92K","-3.08%"
"May 20, 2020","3.81","4.05","4.05","3.81","12.71K","-4.41%"
"May 19, 2020","3.99","3.76","4.23","3.76","18.13K","9.68%"
"May 18, 2020","3.64","3.17","3.64","3.17","32.54K","12.73%"
"May 15, 2020","3.23","2.93","3.23","2.93","0.02K","0.00%"
"May 14, 2020","3.23","2.46","3.23","2.46","1.95K","3.77%"
"May 13, 2020","3.11","2.46","3.11","2.46","8.09K","29.27%"
"May 12, 2020","2.41","2.64","2.64","2.41","7.63K","-16.33%"
"May 11, 2020","2.88","2.88","2.88","2.88","1.02K","-2.00%"
"Mar 20, 2020","2.93","3.17","3.52","2.88","40.06K","-15.25%"
"Mar 13, 2020","3.46","3.17","3.46","3.05","6.13K","5.36%"
"Mar 12, 2020","3.29","3.29","3.29","3.29","9.79K","-5.08%"
"Mar 11, 2020","3.46","3.11","3.46","3.11","1.19K","-1.67%"
"Mar 10, 2020","3.52","3.40","3.52","2.88","1.58K","0.00%"
"Mar 05, 2020","3.52","3.52","3.52","3.52","1.70K","1.69%"
"Feb 28, 2020","3.46","3.46","3.46","3.40","17.02K","0.00%"
"Feb 27, 2020","3.46","3.46","3.46","3.46","0.36K","0.00%"
"Feb 26, 2020","3.46","3.46","3.46","3.46","13.71K","0.00%"
"Feb 25, 2020","3.46","3.46","3.64","3.46","4.39K","0.00%"
"Feb 24, 2020","3.46","3.46","3.46","3.46","1.70K","-3.28%"
"Feb 20, 2020","3.58","3.46","3.58","3.46","3.83K","0.00%"
"Feb 19, 2020","3.58","3.58","3.58","3.58","0.02K","3.39%"
"Feb 18, 2020","3.46","3.52","3.52","3.46","1.72K","0.00%"
"Feb 17, 2020","3.46","3.46","3.46","3.46","0.74K","-1.67%"
"Feb 14, 2020","3.52","3.52","3.52","3.46","22.36K","0.00%"
"Feb 12, 2020","3.52","3.46","3.52","3.46","21.13K","0.00%"
